{91cbf331-4322-457c-9a89-0e40c9a1ef03} event:/cars/mitjet_audi_2l/backfire_ext
{b3b42a4c-72a4-4535-aa56-b78d670c78be} event:/cars/mitjet_audi_2l/backfire_int
{da6d8384-b29e-4f80-be1a-e0ac079d90bd} event:/cars/mitjet_audi_2l/bodywork
{8e90aca8-192e-48c8-a99b-7b224a73fd32} event:/cars/mitjet_audi_2l/door
{262a74e4-bdc3-4b74-aa19-e21084b3baa2} event:/cars/mitjet_audi_2l/engine_ext
{b7c05032-2158-4a75-936e-562c92cc4052} event:/cars/mitjet_audi_2l/engine_int
{18c743b8-46cb-4290-a8a8-aeaa7c21d794} event:/cars/mitjet_audi_2l/gear_ext
{59f09094-01d3-4a6d-91c9-1a2c7d8c877e} event:/cars/mitjet_audi_2l/gear_grind
{0f7bf3e6-95e8-48c6-9d39-b47266f001c4} event:/cars/mitjet_audi_2l/gear_int
{267c7ff4-05e3-416d-9c2b-ee8bfcbe8def} event:/cars/mitjet_audi_2l/horn
{f97f5c31-7e4a-4fc4-9d95-6b8564c80ce7} event:/cars/mitjet_audi_2l/limiter
{8650614e-0ed6-4677-8275-bcbe63f6c544} event:/cars/mitjet_audi_2l/skid_ext
{3979a542-daa2-4ada-a158-ae82081efef7} event:/cars/mitjet_audi_2l/skid_int
{914a0562-0fec-4fde-ade9-0a987f65d477} event:/cars/mitjet_audi_2l/tractioncontrol_ext
{e7204da0-dd78-4bd7-b2c5-03956438d953} event:/cars/mitjet_audi_2l/tractioncontrol_int
{24415a24-dfb6-49a2-865d-001a39e58627} event:/cars/mitjet_audi_2l/transmission
{473f658b-4ba4-4e8e-ae9c-b46c25544b35} event:/cars/mitjet_audi_2l/turbo
{18ca4e6b-ed40-4d87-bafb-2bda63fba2ca} event:/cars/mitjet_audi_2l/wheel
{3869e120-0238-4d8c-82ff-f4a1a247bdff} event:/cars/mitjet_audi_2l/wind
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{2bf56f13-e80d-4547-b649-ba5c576f46a7} bank:/mitjet_audi_2l
